Name,Description,ABV,
All Aboard,American Light Lager,4.5
Strangers on a Train,Fruited Sour Ale,6.2
3rd Rail,West Coast IPA,6.4
A Streetcar Named Apricot,Apricot Wheat Ale,5.4
Twisted Trax Collab w/Brewing is AG,Pale Ale,5.6
Have your Cake and Drink it too,Carrot Cake Pastry Ale,7.3
Railway Detonator,Double Hazy IPA,8.5
Switch Yard,Kentucky Common,5.7
Cookie Crossing,Cookies and Cream Pastry Stout (contains lactose),7.2
"Move Over, Sir!",Brown Ale,5.2
The Express,Polish Piwo Grodziskie,3.5
Hard Seltzer,Ask for todayâ€™s flavors!,5